"FAMILIA","Id","Nombre","Codigo","FK_Periodicidad","FK_Publicacion","FK_Periodo_ini","Anyo_Periodo_ini","FechaRef_fin","Ultima_Modificacion"
"EOH",2038,"Viajeros y pernoctaciones según país de residencia del viajero","NAC",1,1,1,"1999","null",1737705600000
"EOH",2069,"Distribución porcentual de viajeros y pernoctaciones en cada provincia según comunidad autónoma de procedencia","NAC-CCAA-PROV",1,1,1,"1999","null",1737705600000
"EOH",2014,"Estancia media por categorías","NAC",1,1,1,"1999","null",1737705600000
"EOH",2065,"Estancia media por comunidades autónomas y provincias.","NAC-CCAA-PROV",1,1,1,"1999","null",1737705600000
"EOH",2040,"Estancia media por zonas turísticas","NAC",1,1,1,"1999","null",1737705600000
"EOH",2077,"Estancia media por puntos turísticos","MUN",1,1,1,"2005","null",1737705600000
"EOH",2011,"Establecimientos, plazas, grados de ocupación y personal empleado por categorías","NAC",1,1,1,"1999","null",1737705600000
"EOH",2066,"Establecimientos, plazas, grados de ocupación y personal empleado por comunidades autónomas y provincias","NAC-CCAA-PROV",1,1,1,"1999","null",1737705600000
"EOH",2013,"Establecimientos, plazas estimadas, grados de ocupación y personal empleado por zonas turísticas","NAC",1,1,1,"1999","null",1737705600000
"EOH",2076,"Establecimientos, plazas estimadas, grados de ocupación y personal empleado por puntos turísticos","MUN",1,1,1,"2005","null",1737705600000
"EOH",2010,"Tasas de variación anual de viajeros y pernoctaciones","NAC",1,1,1,"1999","null",1737705600000
"EOH",2027,"Tasa de variación anual de la estancia media","NAC",1,1,1,"1999","null",1737705600000
"EOH",2012,"Tasas de variación anual de establecimientos, plazas, grados de ocupación y personal empleado","NAC",1,1,1,"1999","null",1737705600000
"EOH",7904,"Coeficientes de variación de viajeros y pernoctaciones","NAC_CV",1,1,1,"2014","null",1737705600000
"EOAL",2941,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",3149,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",3152,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",46663,"Viajeros y pernoctaciones según tipo de establecimiento","NAC",1,2,1,"2021","null",1738151100000
"EOAL",49381,"Viajeros y pernoctaciones según país de residencia","NAC",1,2,1,"2017","null",1738151100000
"EOAL",61766,"Viajeros y pernoctaciones por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAL",2044,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",2940,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",3150,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",3153,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",46664,"Estancia media según tipo de establecimiento","NAC",1,2,1,"2021","null",1738151100000
"EOAL",49382,"Viajeros y pernoctaciones por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOAL",61767,"Estancia media por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAL",2024,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",3151,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",3154,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",46665,"Establecimientos, plazas, grados de ocupación y personal empleado según tipo de establecimiento","NAC",1,2,1,"2021","null",1738151100000
"EOAL",49383,"Estancia media por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOAL",61768,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAL",2025,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",2942,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAL",9664,"Viajeros y pernoctaciones por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAL",9665,"Viajeros y pernoctaciones según país de residencia","NAC",1,2,1,"2014","null",1738151100000
"EOAL",9666,"Estancia media por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAL",9667,"Establecimientos, plazas, grados de ocupación y personal empleado por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAL",9671,"Distribución porcentual de los viajeros y pernoctaciones según comunidad autónoma de procedencia","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAL",67194,"Viajeros y pernoctaciones por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAL",9668,"Tasa de variación interanual de viajeros y pernoctaciones","NAC",1,2,1,"2014","null",1738151100000
"EOAL",9672,"Tasa de variación interanual de la estancia media","NAC",1,2,1,"2014","null",1738151100000
"EOAL",9669,"Tasa de variación interanual de establecimientos, plazas, grados de ocupación y personal empleado","NAC",1,2,1,"2014","null",1738151100000
"EOAL",9670,"Coeficientes de variación de viajeros y pernoctaciones","NAC_CV",1,2,1,"2014","null",1738151100000
"EOATR",1995,"Viajeros y pernoctaciones por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",2941,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",3149,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",3152,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",49366,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOATR",49379,"Viajeros y pernoctaciones por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOATR",61766,"Viajeros y pernoctaciones por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOATR",67193,"Viajeros y pernoctaciones por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",1999,"Viajeros y pernoctaciones por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOATR",2044,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",2940,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",3150,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",3153,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",49368,"Estancia media, por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOATR",49380,"Viajeros y pernoctaciones por provincias","PROV",1,2,1,"2017","null",1738151100000
"EOATR",61767,"Estancia media por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOATR",2006,"Distribución porcentual de viajeros y pernoctaciones según comunidad y ciudad autónoma de procedencia","NAC-CCAA",1,2,1,"2005","null",1738151100000
"EOATR",2024,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",3151,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",3154,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",49369,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOATR",61768,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOATR",2025,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",2942,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",2073,"Viajeros y pernoctaciones por provincias","PROV",1,2,1,"2005","null",1738151100000
"EOATR",2023,"Estancia media por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",2000,"Estancia media por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOATR",2067,"Estancia media por provincias","PROV",1,2,1,"2005","null",1738151100000
"EOATR",2031,"Tasa de variación interanual de viajeros y pernoctaciones","NAC",1,2,1,"2002","null",1738151100000
"EOATR",1994,"Tasa de variación interanual de la estancia media","NAC",1,2,1,"2002","null",1738151100000
"EOATR",2032,"Tasa de variación interanual de establecimientos, plazas, grados de ocupación y personal empleado","NAC",1,2,1,"2002","null",1738151100000
"EOATR",2046,"Establecimientos, plazas, grados de ocupación y personal empleado por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOATR",2005,"Establecimientos, plazas, grados de ocupación y personal empleado por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOATR",2070,"Establecimientos, plazas, grados de ocupación y personal empleado por provincias","PROV",1,2,1,"2005","null",1738151100000
"EOATR",2004,"Viajeros y pernoctaciones según país de residencia del viajero","NAC",1,2,1,"2009","null",1738151100000
"EOATR",7907,"Coeficientes de variación de viajeros y pernoctaciones","NAC_CV",1,2,1,"2014","null",1738151100000
"EOAP",1993,"Viajeros y pernoctaciones por comunidades autónomas","CCAA",1,2,1,"2000","null",1738151100000
"EOAP",2941,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",3149,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",3152,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",49366,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOAP",49376,"Viajeros y pernoctaciones por puntos turísticos","MUN",1,2,1,"2017","null",1738151100000
"EOAP",61766,"Viajeros y pernoctaciones por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAP",67191,"Viajeros y pernoctaciones por comunidades autónomas","CCAA",1,2,1,"2000","null",1738151100000
"EOAP",2019,"Viajeros y pernoctaciones por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOAP",2044,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",2940,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",3150,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",3153,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",49368,"Estancia media, por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOAP",49377,"Viajeros y pernoctaciones por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOAP",61767,"Estancia media por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAP",2024,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",3151,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",3154,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",49369,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOAP",49378,"Plazas, apartamentos, grados de ocupación y personal empleado por puntos turísticos","MUN",1,2,1,"2017","null",1738151100000
"EOAP",61768,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOAP",2025,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",2082,"Viajeros y pernoctaciones por puntos turísticos","MUN",1,2,1,"2005","null",1738151100000
"EOAP",2942,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOAP",1996,"Distribución porcentual de los viajeros españoles según comunidad autónoma de procedencia","CCAA",1,2,1,"2005","null",1738151100000
"EOAP",2063,"Viajeros y pernoctaciones por provincias","PROV",1,2,1,"2005","null",1738151100000
"EOAP",1998,"Viajeros y pernoctaciones según país de residencia","NAC",1,2,1,"2005","null",1738151100000
"EOAP",2043,"Estancia media por comunidades autónomas","CCAA",1,2,1,"2000","null",1738151100000
"EOAP",2020,"Estancia media por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOAP",2081,"Estancia media por puntos turísticos","MUN",1,2,1,"2005","null",1738151100000
"EOAP",2061,"Estancia media por provincias","PROV",1,2,1,"2005","null",1738151100000
"EOAP",2045,"Tasa de variación interanual de viajeros y pernoctaciones","NAC",1,2,1,"2001","null",1738151100000
"EOAP",2029,"Tasa de variación interanual de la estancia media","NAC",1,2,1,"2001","null",1738151100000
"EOAP",2030,"Tasa de variación interanual de establecimientos, plazas, grados de ocupación y personal empleado","NAC",1,2,1,"2001","null",1738151100000
"EOAP",2021,"Apartamentos, plazas, grados de ocupación y personal empleado por comunidades autónomas","NAC-CCAA",1,2,1,"2000","null",1738151100000
"EOAP",2022,"Apartamentos, plazas, grados de ocupación y personal empleado por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOAP",2083,"Plazas, apartamentos, grados de ocupación y personal empleado por puntos turísticos","MUN",1,2,1,"2005","null",1738151100000
"EOAP",2072,"Plazas, apartamentos, grados de ocupación y personal empleado por provincias","PROV",1,2,1,"2005","null",1738151100000
"EOAP",7906,"Coeficientes de variación de viajeros y pernoctaciones","NAC_CV",1,2,1,"2014","null",1738151100000
"INDINGH",2036,"Índices de ingresos hoteleros, índices y tasas de variación interanual por comunidades autónomas","2001_CCAA",1,2,1,"2003",12,"2008",1311836400000
"INDINGH",2054,"Índices de ingresos hoteleros, índices y tasas de variación interanual por comunidades autónomas","2008_NAC-CCAA",1,2,1,"2003",12,"2009",1311836400000
"INDINGH",2055,"Índices de ingresos hoteleros, índices y tasas de variación interanual por categorías","2008_NAC",1,2,1,"2003",12,"2009",1311836400000
"INDINGH",2037,"Índices de ingresos hoteleros, índices y tasas de variación interanual por categorías","2001_NAC",1,2,1,"2003",12,"2008",1311836400000
"EOC",2015,"Viajeros y pernoctaciones por categorías","NAC",1,2,1,"1999","null",1738151100000
"EOC",2941,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",3149,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",3152,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",49366,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOC",49373,"Viajeros y pernoctaciones por puntos turísticos","MUN",1,2,1,"2017","null",1738151100000
"EOC",61766,"Viajeros y pernoctaciones por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOC",2016,"Viajeros y pernoctaciones por comunidades autónomas","CCAA",1,2,1,"1999","null",1738151100000
"EOC",2044,"Viajeros, pernoctaciones por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",2940,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas.","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",3150,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",3153,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",49368,"Estancia media, por tipo de alojamiento por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOC",49374,"Viajeros y pernoctaciones por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOC",61767,"Estancia media por comunidades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOC",67192,"Viajeros y pernoctaciones por comunidades autónomas","CCAA",1,2,1,"1999","null",1738151100000
"EOC",2024,"Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",3151,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",3154,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",49369,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2017","null",1738151100000
"EOC",49375,"Establecimientos, plazas, parcelas, grados de ocupación y personal empleado por puntos turísticos","MUN",1,2,1,"2017","null",1738151100000
"EOC",61768,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2014","null",1738151100000
"EOC",2025,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidadesy ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",2084,"Viajeros y pernoctaciones por puntos turísticos","MUN",1,2,1,"2005","null",1738151100000
"EOC",2942,"Establecimientos estimados, plazas estimadas y personal empleado por tipo de alojamiento y por comunidades y ciudades autónomas","NAC-CCAA",1,2,1,"2001","null",1738151100000
"EOC",2047,"Viajeros y pernoctaciones por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOC",1997,"Viajeros y pernoctaciones según país de residencia","NAC",1,2,1,"2005","null",1738151100000
"EOC",2062,"Viajeros y pernoctaciones de las provincias con mayor número de pernoctaciones","PROV",1,2,1,"2005","null",1738151100000
"EOC",2041,"Estancia media por categorías","NAC",1,2,1,"1999","null",1738151100000
"EOC",2017,"Estancia media por comunidades autónomas","CCAA",1,2,1,"1999","null",1738151100000
"EOC",2048,"Estancia media por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOC",2075,"Estancia media por puntos turísticos","MUN",1,2,1,"2005","null",1738151100000
"EOC",2068,"Estancia media de las provincias con mayor número de pernoctaciones","PROV",1,2,1,"2005","null",1738151100000
"EOC",2042,"Establecimientos, plazas, parcelas, grados de ocupación y personal empleado por categorías","NAC",1,2,1,"1999","null",1738151100000
"EOC",2049,"Establecimientos, plazas, parcelas, grados de ocupación y personal empleado por zonas turísticas","NAC",1,2,1,"2005","null",1738151100000
"EOC",1992,"Establecimientos, plazas, parcelas, grados de ocupación y personal empleado por comunidades autónomas","CCAA",1,2,1,"1999","null",1738151100000
"EOC",2064,"Establecimientos, parcelas, grados de ocupación y personal empleado de las provincias con mayor número de pernoctaciones","PROV",1,2,1,"2005","null",1738151100000
"EOC",2085,"Establecimientos, plazas, parcelas, grados de ocupación y personal empleado por puntos turísticos","MUN",1,2,1,"2005","null",1738151100000
"EOC",2026,"Tasa de variación interanual de viajeros y pernoctaciones","NAC",1,2,1,"1999","null",1738151100000
"EOC",2018,"Tasa de variación interanual de establecimientos, plazas, grados de ocupación y personal empleado","NAC",1,2,1,"1999","null",1738151100000
"EOC",2028,"Tasa de variación interanual de la estancia media","NAC",1,2,1,"1999","null",1738151100000
"EOC",7905,"Coeficientes de variación de viajeros y pernoctaciones","NAC_CV",1,2,1,"2014","null",1738151100000
"FAMILYTUR",12420,"Viajes, pernoctaciones, duración media y gasto por alojamiento principal","NAC",1,443,2,"2015","null",1734681600000
"FAMILYTUR",12427,"Viajes, pernoctaciones, duración media y gasto por tipo de destino principal","NAC",3,445,19,"2015","null",1734681600000
"FAMILYTUR",12434,"Viajes, pernoctaciones, duración media y gasto por destino principal (extranjero y comunidades autónomas) ","CCAA",3,445,19,"2015","null",1734681600000
"FAMILYTUR",12437,"Etapas, pernoctaciones y duración media de la etapa por destino (extranjero y comunidades autónomas) de la etapa                                                    ","CCAA",3,445,19,"2015","null",1734681600000
"FAMILYTUR",12446,"Excursiones y gasto por motivo principal de la excursión                                                                                                            ","NAC",3,445,19,"2015","null",1734681600000
"FAMILYTUR",12448,"Viajes, pernoctaciones, duración media y gasto por comunidad autónoma de residencia de los viajeros                                                               ","NAC-CCAA",3,445,19,"2015","null",1734681600000
"FAMILYTUR",12494,"Viajes, pernoctaciones, duración media y gasto por alojamiento principal","NAC",1,443,2,"2015","null",1734681600000
"FAMILYTUR",13234,"Excursiones, excursiones por persona e índice sobre la media por comunidad autónoma de residencia de los excursionistas","NAC-CCAA",3,445,19,"2015","null",1734681600000
"FAMILYTUR",14297,"Resultados detallados mensuales","NAC-CCAA",1,443,2,"2015","null",1734681600000
"FAMILYTUR",24919,"Viajes, pernoctaciones, duración media y gasto por tipo de destino principal                                                                                           ","NAC",12,462,19,"2015","null",1711440000000
"FAMILYTUR",24927,"Viajes, pernoctaciones, duración media y gasto por destino principal (extranjero y comunidades autónomas) ","CCAA",12,462,19,"2015","null",1711440000000
"FAMILYTUR",24931,"Etapas, pernoctaciones y duración media de la etapa por destino (extranjero y comunidades autónomas) de la etapa","CCAA",12,462,19,"2015","null",1711440000000
"FAMILYTUR",24938,"Excursiones y gasto por motivo principal de la excursión                                                                                                            ","NAC",12,462,19,"2015","null",1711440000000
"FAMILYTUR",24942,"Viajes, pernoctaciones, duración media y gasto por comunidad autónoma de residencia de los viajeros                                                               ","NAC-CCAA",12,462,19,"2015","null",1711440000000
