RAW_CITY_DES,ORIGIN_DATA_ID,CITY_DES,CITY_ID,LOAD_TIME
Espluga Calba (L'),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Espluga Calba, L'",25081,2024-06-18 13:32:23.893 +0200
Villahermosa del Campo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villahermosa del Campo,44252,2024-06-18 13:32:23.893 +0200
Orellana la Vieja,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Orellana la Vieja,06097,2024-06-18 13:32:23.893 +0200
Palafolls,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Palafolls,08155,2024-06-18 13:32:23.893 +0200
Oliva de la Frontera,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Oliva de la Frontera,06093,2024-06-18 13:32:23.893 +0200
Alcoletge,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alcoletge,25012,2024-06-18 13:32:23.893 +0200
Cierva (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Cierva, La",16074,2024-06-18 13:32:23.893 +0200
Benamaurel,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Benamaurel,18029,2024-06-18 13:32:23.893 +0200
Betancuria,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Betancuria,35007,2024-06-18 13:32:23.893 +0200
Anglesola,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Anglesola,25027,2024-06-18 13:32:23.893 +0200
Sarroca de Bellera,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sarroca de Bellera,25201,2024-06-18 13:32:23.893 +0200
Villas de la Ventosa,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villas de la Ventosa,16272,2024-06-18 13:32:23.893 +0200
Odčn,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Odèn,25148,2024-06-18 13:32:23.893 +0200
Moiŕ,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Moià,08138,2024-06-18 13:32:23.893 +0200
Terriente,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Terriente,44215,2024-06-18 13:32:23.893 +0200
Torres de Segre,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Torres de Segre,25232,2024-06-18 13:32:23.893 +0200
Huesa del Común,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Huesa del Común,44125,2024-06-18 13:32:23.893 +0200
Peraleda del Zaucejo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Peraleda del Zaucejo,06101,2024-06-18 13:32:23.893 +0200
Amer,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Amer,17007,2024-06-18 13:32:23.893 +0200
Cabezas Rubias,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cabezas Rubias,21015,2024-06-18 13:32:23.893 +0200
Saldes,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Saldes,08190,2024-06-18 13:32:23.893 +0200
Torrecampo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Torrecampo,14062,2024-06-18 13:32:23.893 +0200
Nevada,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Nevada,USNVD,2024-06-18 13:32:23.893 +0200
Vansa i Fórnols (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Vansa i Fórnols, La",25909,2024-06-18 13:32:23.893 +0200
Sant Jordi Desvalls,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sant Jordi Desvalls,17166,2024-06-18 13:32:23.893 +0200
Ańora,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Añora,14006,2024-06-18 13:32:23.893 +0200
Sant Llorenç Savall,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sant Llorenç Savall,08223,2024-06-18 13:32:23.893 +0200
Higuera de la Serena,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Higuera de la Serena,06064,2024-06-18 13:32:23.893 +0200
Agramunt,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Agramunt,25003,2024-06-18 13:32:23.893 +0200
Artesa de Segre,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Artesa de Segre,25034,2024-06-18 13:32:23.893 +0200
Paracuellos,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Paracuellos,16150,2024-06-18 13:32:23.893 +0200
Cańaveruelas,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cañaveruelas,16051,2024-06-18 13:32:23.893 +0200
Cordobilla de Lácara,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cordobilla de Lácara,06038,2024-06-18 13:32:23.893 +0200
Manchita,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Manchita,06079,2024-06-18 13:32:23.893 +0200
Alpujarra de la Sierra,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alpujarra de la Sierra,18904,2024-06-18 13:32:23.893 +0200
Hinojosa (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Hinojosa, La",16099,2024-06-18 13:32:23.893 +0200
Cuevas del Campo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cuevas del Campo,18912,2024-06-18 13:32:23.893 +0200
Alburquerque,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alburquerque,06006,2024-06-18 13:32:23.893 +0200
Sidamon,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sidamon,25205,2024-06-18 13:32:23.893 +0200
Carrascosa,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Carrascosa,16057,2024-06-18 13:32:23.893 +0200
Esparragosa de Lares,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Esparragosa de Lares,06048,2024-06-18 13:32:23.893 +0200
Linyola,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Linyola,25122,2024-06-18 13:32:23.893 +0200
Alt Ŕneu,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alt Àneu,25024,2024-06-18 13:32:23.893 +0200
Esterri d'Ŕneu,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Esterri d'Àneu,25086,2024-06-18 13:32:23.893 +0200
Povedilla,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Povedilla,02062,2024-06-18 13:32:23.893 +0200
Villar del Humo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villar del Humo,16258,2024-06-18 13:32:23.893 +0200
Sant Quirze Safaja,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sant Quirze Safaja,08239,2024-06-18 13:32:23.893 +0200
Helechosa de los Montes,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Helechosa de los Montes,06062,2024-06-18 13:32:23.893 +0200
Montellŕ i Martinet,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Montellà i Martinet,25139,2024-06-18 13:32:23.893 +0200
Campofrío,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Campofrío,21019,2024-06-18 13:32:23.893 +0200
Tona,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Tona,08283,2024-06-18 13:32:23.893 +0200
Codosera (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Codosera, La",06037,2024-06-18 13:32:23.893 +0200
Pobla de Segur (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Pobla de Segur, La",25171,2024-06-18 13:32:23.893 +0200
Conca de Dalt,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Conca de Dalt,25161,2024-06-18 13:32:23.893 +0200
Maçanet de Cabrenys,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Maçanet de Cabrenys,17102,2024-06-18 13:32:23.893 +0200
Valls de Valira (Les),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Valls de Valira, Les",25239,2024-06-18 13:32:23.893 +0200
Alosno,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alosno,21006,2024-06-18 13:32:23.893 +0200
Fuentelespino de Haro,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Fuentelespino de Haro,16087,2024-06-18 13:32:23.893 +0200
Tremp,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Tremp,25234,2024-06-18 13:32:23.893 +0200
Balsa de Ves,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Balsa de Ves,02013,2024-06-18 13:32:23.893 +0200
Blázquez (Los),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Blázquez, Los",14011,2024-06-18 13:32:23.893 +0200
Baix Pallars,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Baix Pallars,25039,2024-06-18 13:32:23.893 +0200
Fuenlabrada de los Montes,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Fuenlabrada de los Montes,06051,2024-06-18 13:32:23.893 +0200
Híjar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Híjar,44122,2024-06-18 13:32:23.893 +0200
Oliana,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Oliana,25149,2024-06-18 13:32:23.893 +0200
Mollerussa,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Mollerussa,25137,2024-06-18 13:32:23.893 +0200
Alcarrŕs,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alcarràs,25011,2024-06-18 13:32:23.893 +0200
Malahá (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Malahá, La",18126,2024-06-18 13:32:23.893 +0200
Valdealgorfa,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Valdealgorfa,44241,2024-06-18 13:32:23.893 +0200
Olost,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Olost,08149,2024-06-18 13:32:23.893 +0200
Cristina,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cristina,06041,2024-06-18 13:32:23.893 +0200
Vall de Cardós,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Vall de Cardós,25901,2024-06-18 13:32:23.893 +0200
Torrejoncillo del Rey,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Torrejoncillo del Rey,16211,2024-06-18 13:32:23.893 +0200
Hinojosa del Duque,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Hinojosa del Duque,14035,2024-06-18 13:32:23.893 +0200
Sort,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sort,25209,2024-06-18 13:32:23.893 +0200
Pedro Martínez,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Pedro Martínez,18152,2024-06-18 13:32:23.893 +0200
Rosal de la Frontera,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Rosal de la Frontera,21062,2024-06-18 13:32:23.893 +0200
Peńas de San Pedro,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Peñas de San Pedro,02060,2024-06-18 13:32:23.893 +0200
Higuera de Vargas,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Higuera de Vargas,06066,2024-06-18 13:32:23.893 +0200
Alcaracejos,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alcaracejos,14003,2024-06-18 13:32:23.893 +0200
Solsona,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Solsona,25207,2024-06-18 13:32:23.893 +0200
Beteta,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Beteta,16035,2024-06-18 13:32:23.893 +0200
Blesa,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Blesa,44043,2024-06-18 13:32:23.893 +0200
Alconchel,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alconchel,06007,2024-06-18 13:32:23.893 +0200
Castellolí,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Castellolí,08063,2024-06-18 13:32:23.893 +0200
Calaf,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Calaf,08031,2024-06-18 13:32:23.893 +0200
Castell (Es),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Castell, Es",07064,2024-06-18 13:32:23.893 +0200
Torrebesses,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Torrebesses,25226,2024-06-18 13:32:23.893 +0200
Villaconejos de Trabaque,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villaconejos de Trabaque,16242,2024-06-18 13:32:23.893 +0200
Vall de Boí (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Vall de Boí, La",25043,2024-06-18 13:32:23.893 +0200
Cheles,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cheles,06042,2024-06-18 13:32:23.893 +0200
Santa Maria de Corcó,AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Esquirol, L'",08254,2024-06-18 13:32:23.893 +0200
Hornachos,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Hornachos,06069,2024-06-18 13:32:23.893 +0200
Pont de Suert (El),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Pont de Suert, El",25173,2024-06-18 13:32:23.893 +0200
Escúzar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Escúzar,18072,2024-06-18 13:32:23.893 +0200
Conquista,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Conquista,14020,2024-06-18 13:32:23.893 +0200
Sant Pere de Torelló,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sant Pere de Torelló,08233,2024-06-18 13:32:23.893 +0200
Sant Pol de Mar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sant Pol de Mar,08235,2024-06-18 13:32:23.893 +0200
Maials,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Maials,25133,2024-06-18 13:32:23.893 +0200
Pozuelo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Pozuelo,02065,2024-06-18 13:32:23.893 +0200
Santa Cruz de Moya,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Santa Cruz de Moya,16194,2024-06-18 13:32:23.893 +0200
Siruela,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Siruela,06125,2024-06-18 13:32:23.893 +0200
Villanueva del Fresno,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villanueva del Fresno,06154,2024-06-18 13:32:23.893 +0200
Roda de Ter,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Roda de Ter,08183,2024-06-18 13:32:23.893 +0200
Villafranca de Córdoba,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villafranca de Córdoba,14067,2024-06-18 13:32:23.893 +0200
Mazaleón,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Mazaleón,44147,2024-06-18 13:32:23.893 +0200
Mieres,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Mieres,33037,2024-06-18 13:32:23.893 +0200
Cabeza del Buey,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cabeza del Buey,06023,2024-06-18 13:32:23.893 +0200
Granadella (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Granadella, La",25101,2024-06-18 13:32:23.893 +0200
Almedinilla,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Almedinilla,14004,2024-06-18 13:32:23.893 +0200
Urrea de Gaén,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Urrea de Gaén,44237,2024-06-18 13:32:23.893 +0200
Sant Feliu de Codines,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sant Feliu de Codines,08210,2024-06-18 13:32:23.893 +0200
San Bartolomé de la Torre,AX_FLX_PLACE_BY_CITY_ALL_TODAY,San Bartolomé de la Torre,21063,2024-06-18 13:32:23.893 +0200
Sanaüja,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sanaüja,25191,2024-06-18 13:32:23.893 +0200
Corbera d'Ebre,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Corbera d'Ebre,43048,2024-06-18 13:32:23.893 +0200
Cabrera de Mar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cabrera de Mar,08029,2024-06-18 13:32:23.893 +0200
Cogollos de Guadix,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cogollos de Guadix,18049,2024-06-18 13:32:23.893 +0200
Peńalsordo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Peñalsordo,06100,2024-06-18 13:32:23.893 +0200
Dos Torres,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Dos Torres,14023,2024-06-18 13:32:23.893 +0200
Cumbres de San Bartolomé,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cumbres de San Bartolomé,21028,2024-06-18 13:32:23.893 +0200
Naut Aran,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Naut Aran,25025,2024-06-18 13:32:23.893 +0200
Formiche Alto,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Formiche Alto,44103,2024-06-18 13:32:23.893 +0200
Mirandilla,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Mirandilla,06084,2024-06-18 13:32:23.893 +0200
Noguera de Albarracín,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Noguera de Albarracín,44163,2024-06-18 13:32:23.893 +0200
Tŕrrega,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Tàrrega,25217,2024-06-18 13:32:23.893 +0200
Navalvillar de Pela,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Navalvillar de Pela,06091,2024-06-18 13:32:23.893 +0200
Súria,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Súria,PGSUZ,2024-06-18 13:32:23.893 +0200
Loscos,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Loscos,44138,2024-06-18 13:32:23.893 +0200
Manlleu,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Manlleu,08112,2024-06-18 13:32:23.893 +0200
Puebla del Maestre,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Puebla del Maestre,06105,2024-06-18 13:32:23.893 +0200
Campdevŕnol,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Campdevànol,17036,2024-06-18 13:32:23.893 +0200
Puebla del Prior,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Puebla del Prior,06106,2024-06-18 13:32:23.893 +0200
Alins,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alins,25017,2024-06-18 13:32:23.893 +0200
Castellar de la Frontera,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Castellar de la Frontera,11013,2024-06-18 13:32:23.893 +0200
Barrax,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Barrax,02015,2024-06-18 13:32:23.893 +0200
Casas de Don Pedro,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Casas de Don Pedro,06033,2024-06-18 13:32:23.893 +0200
Mata de los Olmos (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Mata de los Olmos, La",44146,2024-06-18 13:32:23.893 +0200
Avellanes i Santa Linya (Les),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Avellanes i Santa Linya, Les",25037,2024-06-18 13:32:23.893 +0200
Peńarroya de Tastavins,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Peñarroya de Tastavins,44179,2024-06-18 13:32:23.893 +0200
Ŕger,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Àger,25002,2024-06-18 13:32:23.893 +0200
Roca del Vallčs (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Roca del Vallès, La",08181,2024-06-18 13:32:23.893 +0200
Alange,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alange,06004,2024-06-18 13:32:23.893 +0200
Torregrossa,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Torregrossa,25230,2024-06-18 13:32:23.893 +0200
Vall d'en Bas (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Vall d'en Bas, La",17207,2024-06-18 13:32:23.893 +0200
Huéneja,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Huéneja,18097,2024-06-18 13:32:23.893 +0200
Aliaga,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Aliaga,44017,2024-06-18 13:32:23.893 +0200
Verges,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Verges,17211,2024-06-18 13:32:23.893 +0200
Torrijo del Campo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Torrijo del Campo,44232,2024-06-18 13:32:23.893 +0200
Vallecillo (El),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Vallecillo, El",44249,2024-06-18 13:32:23.893 +0200
Llanars,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Llanars,17091,2024-06-18 13:32:23.893 +0200
Pobla de Lillet (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Pobla de Lillet, La",08166,2024-06-18 13:32:23.893 +0200
Bagŕ,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Bagà,08016,2024-06-18 13:32:23.893 +0200
Alcadozo,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Alcadozo,02006,2024-06-18 13:32:23.893 +0200
Sant Guim de Freixenet,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sant Guim de Freixenet,25192,2024-06-18 13:32:23.893 +0200
Port de la Selva (El),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Port de la Selva, El",17140,2024-06-18 13:32:23.893 +0200
Zújar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Zújar,18194,2024-06-18 13:32:23.893 +0200
Villagarcía de la Torre,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villagarcía de la Torre,06150,2024-06-18 13:32:23.893 +0200
Santa Pau,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Santa Pau,17184,2024-06-18 13:32:23.893 +0200
Peralada,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Peralada,17132,2024-06-18 13:32:23.893 +0200
Valhermoso de la Fuente,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Valhermoso de la Fuente,16231,2024-06-18 13:32:23.893 +0200
Villarroya de los Pinares,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villarroya de los Pinares,44262,2024-06-18 13:32:23.893 +0200
Gavet de la Conca,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Gavet de la Conca,25098,2024-06-18 13:32:23.893 +0200
Campos del Paraíso,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Campos del Paraíso,16901,2024-06-18 13:32:23.893 +0200
Ballestero (El),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Ballestero, El",02014,2024-06-18 13:32:23.893 +0200
Sant Boi de Lluçančs,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Sant Boi de Lluçanès,08201,2024-06-18 13:32:23.893 +0200
Galera,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Galera,18082,2024-06-18 13:32:23.893 +0200
Cuevas de Almudén,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Cuevas de Almudén,44093,2024-06-18 13:32:23.893 +0200
Monterde de Albarracín,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Monterde de Albarracín,44157,2024-06-18 13:32:23.893 +0200
Socovos,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Socovos,02072,2024-06-18 13:32:23.893 +0200
Almodóvar del Pinar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Almodóvar del Pinar,16017,2024-06-18 13:32:23.893 +0200
Bigues i Riells,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Bigues i Riells del Fai,08023,2024-06-18 13:32:23.893 +0200
Olmeda del Rey,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Olmeda del Rey,16141,2024-06-18 13:32:23.893 +0200
Guadalaviar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Guadalaviar,44120,2024-06-18 13:32:23.893 +0200
Parras de Castellote (Las),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Parras de Castellote, Las",44178,2024-06-18 13:32:23.893 +0200
Valenzuela,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Valenzuela,14063,2024-06-18 13:32:23.893 +0200
Castilblanco,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Castilblanco,06035,2024-06-18 13:32:23.893 +0200
Navčs,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Navès,25146,2024-06-18 13:32:23.893 +0200
Torŕ,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Torà,25223,2024-06-18 13:32:23.893 +0200
Valdecaballeros,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Valdecaballeros,06137,2024-06-18 13:32:23.893 +0200
Puebla de Don Fadrique,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Puebla de Don Fadrique,18164,2024-06-18 13:32:23.893 +0200
Valencia del Mombuey,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Valencia del Mombuey,06140,2024-06-18 13:32:23.893 +0200
Llívia,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Llívia,17094,2024-06-18 13:32:23.893 +0200
Villanueva de las Torres,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Villanueva de las Torres,18187,2024-06-18 13:32:23.893 +0200
Fuente Palmera,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Fuente Palmera,14030,2024-06-18 13:32:23.893 +0200
Garlitos,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Garlitos,06057,2024-06-18 13:32:23.893 +0200
Torrecilla del Rebollar,AX_FLX_PLACE_BY_CITY_ALL_TODAY,Torrecilla del Rebollar,44222,2024-06-18 13:32:23.893 +0200
Pobla de Cérvoles (La),AX_FLX_PLACE_BY_CITY_ALL_TODAY,"Pobla de Cérvoles, La",25169,2024-06-18 13:32:23.893 +0200
